sgRNA	Gene	D1_High	D1_Low	D2_High	D2_Low
s_4842	ZNF485	2661	2893	2935	3707
s_722	HLA-DQB2	2666	2837	2766	3660
s_2344	ZNF85	1800	1939	1982	2547
s_2665	GCM2	1428	1581	1806	2223
s_213	CCR5	3225	3532	3709	4924
s_359	EGR2	2006	2183	2277	2931
s_4879	LCORL	3124	3491	3512	4790
s_537	FOXC2	1817	2070	2086	2681
s_4047	ZNF611	3532	4105	4298	5712
s_5169	BSX	2607	2824	2934	3608
s_5892	Non-Targeting Control	2714	3021	3041	4047
s_5027	HMX3	1785	1998	2170	2768
s_456	ETS1	1587	1742	1743	2221
s_3238	FOXP1	2810	3175	3056	3969
s_732	HLA-DRB1	1263	1267	1355	1701
s_5708	Non-Targeting Control	2305	2739	2565	3546
s_2690	PPT2	1620	1804	1806	2372
s_2364	ZNF132	1834	2151	2051	2798
s_827	HOXA10	1423	1589	1573	2020
s_4051	ZNF93	2916	3149	3337	4391
s_2433	ZNF184	1548	1841	1737	2272
s_3431	CCHCR1	3263	3592	3639	4827
s_3219	HBP1	1680	1870	1919	2460
s_5721	Non-Targeting Control	2789	3012	3007	4081
s_1033	IL9	4832	5621	5203	6874
s_5478	Non-Targeting Control	1757	1913	1840	2488
s_578	FOSL2	1720	2263	1991	2735
s_4431	ZNF684	4124	4504	4392	5895
s_5596	Non-Targeting Control	2342	2725	2561	3468
s_5923	Non-Targeting Control	2877	3241	3358	4362
s_2288	ZNF33A	2599	2648	2910	3928
s_3900	IRX1	1988	2188	2241	2968
s_5167	BSX	3151	3414	3605	4620
s_930	HOXD10	2359	2614	2703	3631
s_5147	ZNF662	3543	3836	3913	5185
s_3452	ZNF586	2917	3286	3285	4298
s_2661	MSC	1403	1569	1577	2094
s_225	CCR8	2639	2952	2944	3958
s_3073	ATF6	1425	1654	1542	2128
s_4626	IRX2	1323	1310	1339	1833
s_4822	NAIF1	2485	2671	2791	3566
s_3738	ZNF350	4622	5210	5191	6851
s_1664	RARG	1109	1193	1197	1512
s_4787	ZNF585A	3127	3414	3631	4660
s_4413	ZNF440	2866	3159	3355	4316
s_653	GSC2	931	1080	1026	1428
s_5389	CCDC169-SOHLH2	3084	3492	3383	4497
s_3039	IKZF2	2729	2997	2909	3971
s_4998	SNAI3	1732	1948	1692	2520
s_5461	Non-Targeting Control	2204	2443	2375	3369
s_983	RBPJ	2789	3075	3033	3878
s_4814	ZSCAN4	2639	3080	3033	4044
s_4614	IL23R	2600	2826	2975	3604
s_3141	ZKSCAN5	2289	2648	2465	3350
s_4308	PRDM6	1504	1682	1819	2253
s_3271	CD274	1790	2035	1924	2657
s_1097	IRF4	2265	2488	2563	3408
s_3867	BCL11B	1580	1741	1831	2405
s_3159	VAX2	2950	3161	3249	3989
s_3805	ZSCAN31	1910	2135	2156	2978
s_2120	NR2E1	2859	3098	3175	4222
s_2113	NKX2-1	2071	2436	2449	3117
s_1724	RXRB	2947	3359	3302	4400
s_457	ETS2	3141	3377	3443	4539
s_3982	ZNF442	2076	2448	2334	3069
s_5185	ZNF805	1338	1544	1453	2030
s_15	AHR	2757	2921	3172	3971
s_4449	OSR1	1527	1671	1709	2202
s_831	HOXA11	1651	1818	1899	2470
s_5269	SCX	665	806	815	1112
s_4671	ZNF320	2594	2882	3042	3820
s_4099	ZNF541	2167	2367	2430	3295
s_1541	PLAGL1	2525	2750	2844	3446
s_316	DNMT1	2259	2543	2558	3312
s_5266	ZNF674	2879	3118	3255	4123
s_2068	TFCP2	2896	3261	3213	4279
s_2699	ZNF264	2305	2531	2768	3426
s_3000	BTN2A1	2387	2578	2588	3497
s_5739	Non-Targeting Control	4260	4704	4562	6144
s_4332	ZIM3	2495	2813	2834	3544
s_4708	ZNF383	2516	2899	2732	3667
s_2389	ZNF143	2317	2683	2609	3407
s_647	CXCR3	3724	4068	3980	5204
s_4063	SCRT1	998	1164	995	1426
s_4917	ZNF740	2978	3311	3314	4231
s_3058	MLXIP	1957	2320	2253	3000
s_5258	DUXA	3598	3952	4161	5416
s_4267	CREB3L1	3242	3703	3847	5088
s_605	GATA4	1748	1898	1911	2560
s_5436	Non-Targeting Control	2444	2774	2717	3560
s_478	ETV5	2035	2241	2414	2865
s_5832	Non-Targeting Control	2412	2724	2693	3539
s_1483	PAX5	1115	1304	1247	1569
s_5186	ZNF805	2065	2266	2223	2915
s_2992	BTN3A2	1554	1738	1703	2316
s_19	AIF1	2447	2629	2745	3574
s_3382	ZBTB7A	1907	2078	2063	2798
s_3323	IRX4	1092	1142	1109	1852
s_2752	ST18	1500	1597	1902	2446
s_1600	POU5F1B	1694	1884	1962	2463
s_5671	Non-Targeting Control	2489	2637	2677	3697
s_2965	BTNL3	1408	1595	1607	2153
s_3104	SATB2	3160	3362	3475	4601
s_5404	Non-Targeting Control	2022	2310	2395	3202
s_3413	ZNF44	2029	2235	2385	3066
s_3713	OVOL2	1985	2196	2301	2870
s_3184	ZBTB20	1303	1403	1406	1933
s_3951	ZNF552	2082	2272	2328	3038
s_1568	POU2F2	1737	1868	1916	2482
s_3270	CD274	2028	2895	2433	3487
s_2430	ZNF180	1352	1609	1441	2095
s_2236	ZNF10	2353	2706	2469	3355
s_3990	ZFP2	2806	3224	3099	4240
s_4582	ZNF558	3129	3452	3502	4402
s_1968	TBX6	1716	1866	1737	2326
s_5543	Non-Targeting Control	2633	3040	2937	4009
s_1980	TBX3	2497	2702	2678	3512
s_1869	SP4	3353	3698	3666	5097
s_5843	Non-Targeting Control	2017	2227	2239	3035
s_2635	PHOX2B	1214	1312	1388	1874
s_5699	Non-Targeting Control	2297	2386	2326	3251
s_5656	Non-Targeting Control	2198	2287	2304	3187
s_3664	ZBTB4	2796	3078	2891	4055
s_5617	Non-Targeting Control	1392	1521	1550	1956
s_1913	STAT3	2987	3536	3562	4643
s_2698	ZNF264	2533	2689	2679	3720
s_4003	TET1	1874	1942	2004	2472
s_3335	TBX22	2696	3127	3114	4152
s_5658	Non-Targeting Control	1694	1985	2002	2731
s_3902	ZNF557	2297	2457	2615	3532
s_2801	CEBPZ	2982	3385	3363	4440
s_2544	HMGA2	2426	2586	2655	3315
s_4122	RHOXF2	1404	1632	1645	2127
s_4233	MED30	2171	2494	2582	3700
s_4835	ATOH7	1725	1953	1711	2565
s_2924	AP4B1	3841	4122	4291	5548
s_996	IL2RA	2851	2973	3070	3915
s_2746	ZNF432	3289	3669	3833	4902
s_1648	PURA	1788	2067	1909	2620
s_5674	Non-Targeting Control	2312	2677	2451	3430
s_1110	IRF7	1689	1879	1810	2482
s_1180	SMAD4	1725	2032	1998	2557
s_3707	ZNF71	1637	1845	1780	2390
s_2313	ZNF69	2406	2787	2845	3503
s_5786	Non-Targeting Control	1815	2182	2056	2733
s_3912	HMBOX1	2482	2842	2897	3634
s_4096	ARID5B	2785	3068	3236	3970
s_3562	BARX1	1483	1488	1640	2041
s_1212	MEF2A	2695	2999	3089	4079
s_5581	Non-Targeting Control	1966	2295	2343	2888
s_2797	ZNF263	2364	2695	2830	3684
s_2143	NR2C2	2495	2688	2643	3437
s_1384	NFKB1	4579	4990	5039	6969
s_3180	ZZZ3	2802	3081	2988	4023
s_1145	LMX1B	1293	1570	1469	2062
s_4419	ZNF573	2265	2566	2625	3488
s_82	NKX3-2	1103	1290	1256	1647
s_3613	SALL4	1737	1956	1982	2529
s_4476	NKX2-6	1497	1605	1661	2126
s_4767	ZNF431	5460	6025	6363	8213
s_8	AGER	2633	2975	3017	3877
s_5283	ASCL5	3391	3841	3778	4883
s_5711	Non-Targeting Control	1500	1565	1577	2079
s_5960	Non-Targeting Control	1483	1788	1959	2472
s_5361	ZNF705B	2381	2829	2818	3794
s_1241	MITF	5006	5557	5687	7406
s_470	ETV3	2841	3251	3021	4052
s_2255	ZNF18	1869	2137	2027	2950
s_5909	Non-Targeting Control	2763	3080	3107	4075
s_2953	ZNF273	2313	2620	2623	3539
s_4598	ZNF555	2078	2365	2254	3077
s_4934	ZNF776	2730	3092	3253	4088
s_2065	TFCP2	3545	3900	3709	5143
s_5281	SEBOX	1852	2111	2179	2740
s_2145	TRPS1	2952	3238	3232	4243
s_5110	ZNF429	2188	2389	2284	3234
s_492	EVX1	2221	2677	2785	3380
s_1494	PAX9	1323	1488	1502	2037
s_4853	FOXK1	3006	3441	3315	4457
s_1141	LMX1A	1594	1661	1755	2294
s_4510	ZNF664	3016	3332	3457	4593
s_2057	TFAP2C	2523	2666	2775	3668
s_887	HOXC8	1810	2128	2135	2689
s_1027	IL6ST	3043	3456	3481	4643
s_5265	ZNF674	2452	2631	2888	3484
s_1424	NKX6-1	1590	1710	1696	2199
s_5050	ZSCAN22	1893	2003	1999	2850
