id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
LHX2	16	0.080444	0.20528	0.982102	276	4	-0.0074952	0.42337	0.62787	0.980535	854	3	-0.0074952
SOX10	16	0.042845	0.13099	0.930701	190	4	-0.049677	0.42342	0.62792	0.980535	855	1	-0.049677
SNAI2	16	0.95804	0.95805	0.999599	1275	0	0.019092	0.42584	0.63029	0.980535	856	1	0.019092
NKX2-1	16	0.52216	0.66924	0.999599	856	2	-0.01571	0.42584	0.63029	0.980535	857	1	-0.01571
BTN2A2	16	0.33405	0.53182	0.999599	671	1	0.035098	0.42664	0.63107	0.980535	858	2	0.035098
AIF1	16	0.34589	0.54492	0.999599	689	2	0.040598	0.42738	0.63179	0.980535	859	1	0.040598
FOSL2	16	0.010499	0.042628	0.632864	91	4	-0.025921	0.42905	0.63342	0.980535	860	2	-0.025921
RHOXF2	16	0.40913	0.59212	0.999599	742	1	-0.0034523	0.42953	0.6339	0.980535	861	3	-0.0034523
ZNF664	16	0.9158	0.91581	0.999599	1214	0	-0.0075849	0.42957	0.63394	0.980535	862	1	-0.0075849
ZNF100	16	0.099399	0.23873	0.987761	325	3	0.028228	0.42974	0.6341	0.980535	863	3	0.028228
RUNX3	16	0.098203	0.23664	0.987761	323	3	0.0097141	0.43016	0.63452	0.980535	864	3	0.0097141
DLX5	16	0.79373	0.82486	0.999599	1069	1	0.025486	0.43045	0.6348	0.980535	865	2	0.025486
ZNF444	16	0.15062	0.32585	0.999599	408	3	-0.015678	0.4308	0.63514	0.980535	866	3	-0.015678
NFE2	16	0.1658	0.34497	0.999599	432	2	-0.0042595	0.43143	0.63577	0.980535	867	3	-0.0042595
ZNF433	16	0.56301	0.69936	0.999599	897	2	0.03963	0.43165	0.63597	0.980535	868	3	0.03963
ZNF557	16	0.45062	0.61948	0.999599	774	1	0.0063868	0.43228	0.63659	0.980535	869	3	0.0063868
YY2	16	0.85122	0.8592	0.999599	1113	1	0.020429	0.43349	0.63778	0.980535	870	2	0.020429
ZNF224	16	0.91232	0.91233	0.999599	1209	0	0.029937	0.43384	0.63812	0.980535	871	2	0.029937
