sgRNA	Gene	D1_High	D1_Low	D2_High	D2_Low
s_2310	CD38	882	699	814	859
s_2536	Non-Targeting Control	558	451	524	600
s_838	ICAM1	636	523	625	675
s_1435	PAF1	157	125	153	144
s_646	FGF12	629	551	641	730
s_2562	Non-Targeting Control	1243	949	1131	1332
s_2712	Non-Targeting Control	865	748	815	937
s_2846	Non-Targeting Control	591	507	594	693
s_1158	MAP3K14	471	389	430	519
s_2857	Non-Targeting Control	618	545	615	690
s_1768	SERHL2	219	173	190	183
s_2635	Non-Targeting Control	421	327	386	443
s_835	HSPD1	674	520	610	678
s_2245	ZNF703	942	794	868	1047
s_1284	NAAA	388	291	399	408
s_709	GPR183	1069	947	1074	1295
s_2851	Non-Targeting Control	128	97	125	141
s_2561	Non-Targeting Control	515	557	417	503
s_2357	Non-Targeting Control	45	36	31	45
s_2778	Non-Targeting Control	131	83	89	122
s_1228	MICB	359	289	284	431
s_2560	Non-Targeting Control	406	387	421	484
s_1023	KCNU1	118	87	105	121
s_1120	LZTS1	582	493	470	620
s_1499	POLR2L	119	92	115	110
s_1737	SAA1	454	416	458	488
s_34	AGPAT1	783	706	707	829
s_1245	MS4A14	1199	922	1134	1176
s_2438	Non-Targeting Control	1063	853	914	1153
s_2559	Non-Targeting Control	526	402	475	531
s_1730	S100A8	192	138	196	216
s_2692	Non-Targeting Control	533	470	526	617
s_525	DMAP1	651	514	611	637
s_483	DAD1	496	387	469	561
s_1750	SBNO2	168	176	182	186
s_1949	TICAM2	842	1002	739	1346
s_1389	NR3C1	368	347	393	420
s_1197	MBL2	635	496	556	694
s_622	FADD	869	660	623	889
s_594	EIF5	252	189	207	275
s_2680	Non-Targeting Control	88	71	82	98
s_1208	MED30	589	457	564	690
s_825	HSP90B1	96	89	85	114
s_472	CYBB	99	99	90	109
s_2580	Non-Targeting Control	283	226	250	252
s_990	JAGN1	509	402	457	497
s_991	JAGN1	660	572	633	696
s_54	ALG2	26	22	19	23
s_1220	MIB2	837	712	767	888
s_1124	MALT1	544	426	544	615
s_1898	TADA3	366	314	347	411
s_266	CCDC22	343	318	321	414
s_918	IL6ST	444	378	431	527
s_2703	Non-Targeting Control	44	39	35	50
s_2042	TNFRSF11A	303	234	253	317
s_653	FLOT1	153	117	136	129
s_1494	POLR2E	513	369	481	515
s_2174	VHL	260	259	246	303
s_2164	VAMP1	319	280	274	331
s_1418	OTUD7B	17	6	4	14
s_952	IRF1	95	104	84	145
s_2270	GAS6	30	22	25	32
s_2129	TYMP	37	36	36	40
s_398	CREB1	24	18	27	36
s_2015	TMEM258	1	3	2	6
