sgRNA	Gene	D1_high	D1_low	D2_high	D2_low	D3_high	D3_low	D4_high	D4_low
s_380	ELF3	2098	2313	2343	3042	704	810	285	364
s_5476	Non-Targeting Control	2287	2683	2552	3326	273	277	115	115
s_4355	OLIG1	2378	2642	2564	3399	761	778	309	349
s_1438	NRL	2522	2903	2828	3743	625	767	281	388
s_2900	DMRT2	2732	3137	2927	3903	1244	1305	520	602
s_2557	EOMES	2772	3137	3115	3929	664	775	317	336
s_4755	ZNF169	3247	3511	3436	4492	994	1189	400	514
s_3558	DMAP1	2448	2614	2730	3669	797	841	306	406
s_1279	MXI1	1905	1981	1965	2687	376	398	144	178
s_2919	TBR1	1858	2000	2085	2699	404	468	163	208
s_3435	HES2	1445	1524	1573	2068	541	589	209	270
s_2121	TNF	3232	3637	3611	4840	524	551	190	223
s_4367	ZNF641	1895	2162	2239	2949	732	785	285	374
s_3140	ZIM2	2671	3092	3122	3973	958	1039	434	476
s_2036	TEAD4	3102	3303	3402	4492	946	970	384	474
s_3222	ZNF285	2462	2731	2791	3719	702	796	289	363
s_706	HLA-C	1679	1877	1844	2378	393	458	158	192
s_2815	FLOT1	4545	4907	5299	6618	1763	1803	667	808
s_3412	KLF13	1868	1869	1885	2703	567	583	231	268
s_5580	Non-Targeting Control	4305	4978	4920	6375	569	910	305	331
s_3044	ATF5	2570	2849	2780	3641	1247	1269	485	576
s_1903	SS18	3005	3563	3477	4573	245	221	79	90
s_1209	MEF2A	3940	4267	4421	5672	1356	1435	488	708
s_4169	ZNF382	2426	2686	2802	3603	857	987	378	463
s_1852	SOX15	1048	1276	1380	1768	105	187	59	102
s_4462	LIN54	2248	2574	2635	3465	367	432	158	187
s_3295	RAX	1741	1922	2009	2625	752	782	283	332
s_4576	ZNF582	4230	4421	4619	6019	1226	1370	483	574
s_858	HOXB6	2137	2285	2178	2980	77	132	48	50
s_3065	ZBTB1	2525	2870	3029	3815	714	760	322	351
s_3968	ZNF613	967	1104	1083	1484	52	64	22	44
s_1820	SOX1	1106	1210	1134	1569	227	205	84	80
s_1860	SP1	3400	3978	3861	5139	472	574	181	255
s_5687	Non-Targeting Control	1920	1867	2083	2644	499	155	209	183
s_4980	ZNF789	1947	2156	2073	2984	801	848	281	380
s_3917	ZNF322	3094	3641	3592	4761	881	824	337	434
s_2845	IRF9	2185	2375	2358	3074	528	638	217	291
s_4570	SIX5	2532	2810	2919	3686	295	388	147	164
s_1447	NR4A2	1567	1761	1803	2386	446	505	167	204
s_737	HLX	2912	3529	3569	4760	146	194	112	73
s_2772	MED12	4408	5096	5265	6755	1092	1119	411	554
s_4228	ZNF766	3820	4122	4323	5727	1143	957	400	625
s_3658	ZBTB2	2021	2287	2218	3068	823	951	375	444
s_2284	ZNF32	3268	3479	3788	4851	1240	1277	505	612
s_2654	IL1RL1	3365	3783	3878	4975	1062	1192	447	551
s_4430	DMBX1	1392	1544	1470	1943	44	24	23	16
s_3635	ZNF490	2412	2742	2504	3328	766	819	290	427
s_618	GBX2	2005	2326	2284	2998	349	386	147	194
s_5789	Non-Targeting Control	2031	2148	2079	2731	359	382	159	181
s_4563	ZNF563	1948	2185	2111	2888	823	882	303	414
s_3327	C6orf48	2781	3044	3019	4160	358	604	120	263
s_5338	TCF24	1691	1916	1921	2430	699	772	253	328
s_5455	Non-Targeting Control	2568	2833	3168	4034	837	1037	378	500
s_1164	LYL1	1340	1507	1529	1984	91	129	43	63
s_5040	ZNF284	2187	2518	2482	3362	305	271	127	99
s_5744	Non-Targeting Control	1352	1490	1484	1952	447	511	189	219
s_99	BNC1	2351	2421	2541	3223	484	571	212	250
s_2816	FLOT1	1897	2116	2269	2946	588	562	239	304
s_1579	POU3F4	2318	2563	2563	3366	367	419	160	228
s_5301	FOXD4L5	1789	1943	2117	2676	706	813	300	354
s_3533	TRERF1	1324	1588	1505	2060	487	581	222	267
s_4695	ZNF433	3074	3222	3298	4083	1023	1117	409	527
s_1887	SREBF1	2057	2308	2346	3075	577	636	238	301
s_5835	Non-Targeting Control	2982	3401	3688	4604	967	986	367	510
s_1535	PKNOX1	1998	2170	2237	2952	664	719	262	324
s_2709	ONECUT2	2962	3113	3194	4205	517	593	221	325
s_4628	BTNL9	2151	2401	2404	3207	544	580	209	239
s_4856	RFX6	2539	2737	2719	3743	616	668	287	320
s_5726	Non-Targeting Control	2117	2464	2314	3062	106	144	34	65
s_5911	Non-Targeting Control	2282	2512	2598	3460	350	318	129	180
s_4635	NKX6-3	1627	1761	1753	2422	230	216	80	104
s_5933	Non-Targeting Control	1944	2171	2153	2851	99	132	47	59
s_4028	PBX4	1786	1888	1924	2560	612	651	227	308
s_4768	ZNF431	2046	2407	2410	3068	606	658	263	343
s_613	GBX1	1253	1423	1542	1875	310	346	123	133
s_1673	RELB	3499	3881	4006	5202	418	578	164	282
s_3813	NSD1	1364	1484	1665	2178	389	397	169	230
s_4406	ZNF543	1277	1549	1463	1893	497	535	224	250
s_1281	MYB	1840	2042	1988	2599	559	664	233	270
s_5804	Non-Targeting Control	1928	2202	2215	2768	103	214	74	60
s_3210	LHX6	2083	2192	2334	3044	530	548	126	251
s_4466	NOBOX	1950	2055	2196	2762	643	669	256	336
s_4176	ATOH8	1165	1273	1241	1729	96	113	43	48
s_5644	Non-Targeting Control	2130	2466	2415	3276	924	824	310	418
s_2103	THRA	2351	2609	2726	3690	135	154	37	59
s_2013	ZNF354A	2354	2624	2649	3663	891	995	367	481
s_5390	CCDC169-SOHLH2	2828	3335	3348	4349	1010	1004	426	512
s_435	ESR1	2407	2642	2798	3456	493	504	192	198
s_2380	ZNF136	3754	4242	4340	5692	633	704	274	338
s_2895	ARID3B	2366	2619	2716	3612	491	595	200	262
s_5539	Non-Targeting Control	2095	2453	2551	3341	478	588	224	262
s_3564	BARX1	1931	2079	2185	2899	704	738	260	324
s_3192	ZNF337	4182	4611	4717	6186	1084	1113	416	534
s_905	HOXC13	1608	1866	1907	2433	175	316	74	146
s_645	CXCR3	2197	2394	2317	3096	822	918	307	432
s_5872	Non-Targeting Control	2278	2404	2625	3381	67	61	27	29
s_49	ASCL1	2379	2750	2712	3442	239	414	89	146
s_2022	TCF21	931	1049	1094	1270	179	168	87	73
s_2398	ZNF146	1830	1952	2009	2792	543	538	212	250
s_5318	CCR2	3021	3416	3268	4369	1061	1197	408	494
s_5206	ZNF880	4959	5471	5790	7365	1319	1379	453	625
s_649	NR3C1	3749	4096	4090	5466	1458	1557	618	678
s_3370	KLF3	4220	4768	4867	6236	169	212	71	98
s_4982	ZNF789	4183	4703	4996	6510	613	646	237	248
s_2908	KLF1	1966	2176	2034	2861	752	727	309	369
s_5088	ZNF81	3626	4065	4235	5622	397	407	166	201
s_1698	RFX5	1226	1346	1418	1757	167	207	63	65
s_685	HIF1A	1603	1877	1806	2476	569	662	276	309
s_3309	ZNF354C	1863	2121	2195	2745	184	239	80	107
s_2457	ZNF205	3601	3891	3977	5128	562	618	212	281
s_158	CDC5L	1166	1221	1317	1645	148	167	49	74
s_3964	ZNF671	1602	1789	1832	2285	261	401	115	148
s_4244	ZNF439	2603	2913	2997	3917	826	926	342	444
s_4512	E2F7	2319	2492	2506	3321	619	649	233	318
s_5080	ZNF879	1264	2235	1451	2266	48	97	22	31
s_4698	ZNF433	3710	3965	4114	5599	204	217	87	105
s_3132	PATZ1	3768	4273	4096	5376	667	714	256	334
s_5126	ZNF808	2845	3282	3525	4268	141	127	62	93
s_4959	ZNF619	3729	4144	4256	5467	602	1081	285	327
s_1516	PGR	1772	2117	1952	2561	580	588	213	266
s_2009	TCF15	1437	1542	1621	2041	379	428	173	236
s_4794	ZNF626	3206	3585	3542	4775	212	206	44	77
s_1627	PROP1	2363	2634	2525	3332	372	397	134	172
s_5113	ZNF445	2592	2736	2711	3524	896	974	381	442
s_5212	YY2	2909	3222	3390	4174	135	153	58	71
s_4886	ZNF718	2777	3114	3170	4211	1090	1272	428	602
s_2353	ZNF121	2347	2661	2846	3638	949	1060	390	483
s_1036	IL9	2207	2305	2420	3396	828	919	345	395
s_2142	NR2C2	2148	2486	2318	3327	85	106	46	33
s_3752	ALX4	3667	4002	4046	5362	887	1102	429	464
s_5174	SKOR1	1894	2166	2025	2909	25	43	4	26
s_671	GZMA	1569	1778	1839	2253	224	271	103	136
s_5450	Non-Targeting Control	1899	1973	2014	2765	627	698	268	342
s_1440	NRL	4288	4643	4896	6262	1775	1844	694	834
s_1429	NPAS2	2207	2527	2639	3575	836	909	300	454
s_2952	ZNF274	1894	2055	2133	2734	537	551	232	298
s_691	HIVEP1	2974	3379	3462	4500	1208	1366	481	583
s_4106	ZNF333	3377	3692	3598	4924	327	435	146	181
s_556	FOXS1	2340	2745	2554	3398	71	150	41	142
s_5471	Non-Targeting Control	3371	3846	3806	4962	647	859	297	350
s_1748	CCL1	1261	1444	1378	1783	691	671	234	326
s_5317	CCR2	2821	2986	3198	4484	566	564	223	239
s_336	E2F4	1865	2128	2031	2779	334	431	74	113
s_417	EPAS1	2739	3126	3017	4118	704	756	297	385
s_4198	SCRT2	1696	1863	1838	2342	361	471	139	206
s_5858	Non-Targeting Control	3144	3475	3345	4493	1182	1357	502	611
s_2424	ZNF175	2851	3108	3433	4131	621	642	215	311
s_1919	STAT4	2230	2538	2397	3200	121	184	55	51
s_2414	VEZF1	3052	3558	3532	4773	1163	1302	445	581
s_5353	ZNF705G	2436	2935	2852	3836	860	911	334	417
s_2802	CEBPZ	2153	2284	2292	3061	375	490	133	177
s_5263	ZNF674	2960	3165	3415	4401	829	853	309	416
s_258	CSF1	3161	3483	3491	4602	1501	1618	639	715
s_2503	GPANK1	2454	2717	2730	3607	689	770	311	389
s_2851	BTN3A3	1485	1583	1533	2110	487	539	199	227
s_5673	Non-Targeting Control	2514	2913	2779	3661	829	804	308	398
s_1593	POU5F1	2372	2534	2601	3487	409	453	176	187
s_5365	MEF2B	2039	2242	2239	3077	95	215	74	163
s_1317	MYOG	2276	2523	2471	3310	331	331	131	169
s_1665	REL	3086	3546	3628	4661	926	978	382	417
s_1034	IL9	2526	2798	2702	3594	911	997	393	415
s_1556	POU1F1	2741	3021	3198	4149	939	959	355	421
s_4954	ZFP82	2621	2986	2975	3754	1263	1334	480	554
s_4118	NKX6-2	1599	1756	1751	2458	451	491	208	242
s_5327	BTNL10	1893	2248	2065	2838	464	753	202	242
s_3158	VAX2	1220	1286	1282	1645	407	445	176	202
s_4136	SPZ1	2268	2507	2708	3509	624	659	266	333
s_485	MECOM	2966	3397	3349	4407	303	475	138	164
s_4494	ZFP92	1543	1787	1690	2169	459	572	255	240
s_5707	Non-Targeting Control	2036	2102	2035	2819	236	284	111	116
s_44	ARNT	1908	2016	2055	2748	58	70	33	47
s_4653	HSFY2	1555	1786	1769	2282	572	654	211	260
s_3799	NPAS3	2410	2590	2678	3596	492	504	163	248
s_4943	ZNF283	1783	1955	2075	2545	654	742	257	378
s_5659	Non-Targeting Control	1995	2210	2416	3120	567	736	241	347
s_4374	SP7	2329	2531	2555	3287	916	991	373	470
s_2794	NR1H3	2559	2707	2814	3625	679	706	296	341
s_5433	Non-Targeting Control	2825	3265	3271	4180	1102	1218	468	516
s_3661	ZBTB4	2407	2907	2758	3487	873	915	347	431
s_2464	ZNF213	1696	1776	1841	2408	546	645	255	298
s_5151	LIN28B	2543	2876	3001	3991	643	720	229	308
s_3629	ZNF304	2930	3292	3430	4565	222	433	121	188
s_3844	ZNF574	2594	3004	2936	3870	961	1093	423	472
s_5760	Non-Targeting Control	1501	1663	1732	2370	187	265	79	105
s_4828	GSX1	2155	2435	2426	3228	830	970	327	418
s_4935	ZSCAN1	2396	2513	2408	3607	715	809	162	462
s_289	DLX2	3027	3581	3481	4589	1048	1234	464	537
s_2215	ZNF2	2279	2578	2432	3395	847	921	304	407
s_3792	PRDM15	3382	3904	3918	5045	757	944	331	394
s_4109	LCOR	2050	2289	2308	3029	565	615	230	307
s_2031	TEAD1	2386	2683	2593	3497	628	854	237	353
s_2272	ZNF23	2614	3025	2994	3955	921	951	417	470
s_4083	MIXL1	1025	1111	1068	1490	402	374	141	162
s_756	HMX2	1289	1427	1511	1992	402	436	186	213
s_3518	ZFP64	1435	1643	1606	2109	483	542	234	295
s_347	E4F1	2104	2470	2307	3118	872	1002	402	419
s_3478	ZNF444	1217	1384	1371	1758	296	380	158	165
s_3700	NFE4	1659	1822	1810	2264	419	478	158	230
s_879	HOXC5	1761	1960	2102	2862	389	429	172	193
s_3755	PKNOX2	2425	2705	2757	3695	405	493	172	221
s_4905	NPAS4	1581	1674	1771	2424	691	734	263	310
s_2436	ZNF184	3998	4340	4662	6022	1152	1307	526	554
s_4392	HSF5	4224	4790	4773	6306	1348	1476	556	704
s_1878	SPIB	2321	2484	2386	3375	579	665	216	286
s_2760	SETDB1	2453	2744	2872	3757	787	937	378	366
s_5822	Non-Targeting Control	2285	2642	2643	3560	944	1054	391	477
s_1073	CXCL10	2141	2381	2293	3219	419	556	189	253
s_5915	Non-Targeting Control	1599	1801	1901	2304	365	353	156	195
s_1910	STAT2	2402	2510	2721	3488	762	762	335	431
s_1439	NRL	2697	3111	3028	4062	584	763	256	357
s_5393	ZNF891	2448	2693	2881	3477	595	630	250	22
s_620	GBX2	1852	1986	2050	2619	633	653	231	316
s_2180	XBP1	3000	3363	3506	4600	1178	1197	487	615
s_1117	JAK3	3373	3724	3575	4734	961	992	371	458
s_61	ATF1	2912	3346	3291	4435	702	862	257	341
s_5904	Non-Targeting Control	1814	2091	2075	2752	644	772	259	343
s_301	DLX5	1248	1405	1417	1825	303	326	109	155
s_2469	ZNF217	2946	3144	3316	4181	97	118	46	47
s_669	GZMA	3322	3679	3726	4705	1359	1452	539	642
s_4838	ATOH7	1330	1418	1432	1935	268	277	107	155
s_4516	GSC	2304	2599	2691	3436	267	291	148	118
s_5363	MEF2B	2892	3174	3163	4222	664	747	276	372
s_3268	ZBTB44	4330	4869	4978	6435	1679	1918	723	863
s_3860	DCLRE1B	2330	2755	2655	3478	326	396	119	158
s_3290	TLX3	1572	1847	1810	2339	752	796	277	353
s_2102	THRA	1625	1787	1843	2422	559	635	250	270
s_687	HIF1A	2918	3344	3648	4599	1351	1336	485	606
s_2755	ZEB2	3634	3846	4211	5185	933	1157	398	546
s_610	GATA6	1642	1707	1791	2394	551	568	240	301
s_1863	SP2	3143	3356	3357	4371	115	203	48	87
s_4496	ZFP28	2322	2615	2824	3566	485	559	261	208
s_3499	SOX6	2086	2377	2386	3181	525	571	217	273
s_2791	ZBTB33	1810	2008	2155	2689	670	713	255	324
s_196	CENPB	1127	1300	1211	1622	249	271	123	129
s_5593	Non-Targeting Control	2508	2799	2848	3703	1003	1011	379	456
s_3459	SOHLH2	2553	2777	2866	3682	805	795	312	385
s_5558	Non-Targeting Control	2508	2714	2738	3692	888	825	307	388
s_4397	ZFP3	1278	1386	1355	1841	451	510	182	193
s_1153	LTB	1313	1416	1293	1802	198	319	88	130
s_3480	ZNF444	1943	2294	2242	2818	128	121	51	56
s_2343	ZNF85	1868	2133	2053	2834	757	815	262	399
s_636	GLI2	2305	2625	2459	3333	876	962	328	431
s_5152	LIN28B	3206	3512	3645	4743	965	1095	386	496
s_249	CREM	3290	3819	3906	5042	908	929	357	440
s_4738	ZNF467	1522	1591	1729	2373	525	636	219	278
s_1769	CCL8	1975	2277	2212	2872	392	401	169	182
s_1550	PRRX1	1059	1122	1089	1490	93	124	31	49
s_18	AIF1	2821	3001	3221	4008	305	315	109	158
s_5014	TFAP2E	1602	1657	1668	2183	544	639	239	283
s_4773	ZNF384	1483	1708	1539	2027	545	581	251	238
s_592	GABPA	3059	3362	3351	4395	673	823	323	350
s_4247	ZNF486	2450	2845	2773	3690	1118	1071	420	471
s_1204	MAZ	1034	1189	1051	1521	96	137	59	64
s_5950	Non-Targeting Control	2040	2326	2390	2985	711	762	337	342
s_4826	ZNF449	1880	2040	2138	2698	632	674	239	296
s_2773	NR1I3	3420	3930	3794	4971	1418	1525	562	697
s_1595	POU5F1	2119	2322	2259	2933	748	769	281	353
s_2569	ZNF282	2367	2819	2655	3314	995	1047	371	442
s_2395	ZBTB16	1826	1997	1914	2509	578	587	228	287
s_2937	PHTF1	2799	3187	3136	4067	290	290	94	112
s_5560	Non-Targeting Control	2598	2977	3027	3797	452	527	201	254
s_1329	NEUROG1	2560	2777	2748	3766	1124	1207	443	516
s_1077	INSM1	1322	1465	1682	2105	55	82	18	30
s_3592	LHX9	3463	3778	3805	4794	782	811	320	416
s_3541	ZKSCAN7	2643	2925	3006	4008	956	1057	375	517
s_3466	FEZF2	1496	1756	1663	2284	492	549	201	264
s_5647	Non-Targeting Control	1709	1870	1901	2517	769	824	301	342
s_2148	TRPS1	1857	1973	1963	2692	699	700	303	330
s_4036	ZNF34	1960	2357	2239	3002	625	722	244	308
s_5857	Non-Targeting Control	1988	2192	2152	2984	827	903	335	379
s_4539	ZNF534	3811	4265	4464	5510	1522	1682	629	808
s_991	IL2	2409	2817	2771	3583	680	802	295	368
s_743	HMGA1	3113	3397	3524	4435	476	551	262	267
s_4765	GSX2	1411	1544	1564	2012	404	504	159	206
s_2422	ZNF175	1870	2089	2075	2702	221	283	117	131
s_2878	BATF	2152	2358	2355	3037	550	658	216	320
s_3773	DMRTA1	3178	3449	3384	4398	158	174	61	88
s_1944	TAL2	3206	3564	3700	4678	423	466	161	213
s_4110	LCOR	2033	2145	2275	2818	750	822	305	392
s_880	HOXC5	2688	3180	3096	3999	371	579	232	245
s_5041	ZNF284	2690	3117	3207	4213	883	964	346	428
s_1208	MECP2	1876	2125	2132	2780	637	763	255	378
s_4201	HSFY1	2888	3531	3312	4427	117	120	58	71
s_3350	YBX2	1649	1787	1830	2378	89	90	28	46
s_2649	TBX18	2023	2214	2162	2813	622	567	244	318
s_5485	Non-Targeting Control	2169	2433	2455	3381	811	907	356	377
s_1016	IL5	2115	2369	2528	3212	984	1176	354	519
s_5554	Non-Targeting Control	1809	2074	2106	2796	512	551	191	237
s_582	NR5A2	2458	2704	2757	3673	143	178	73	80
s_2416	VEZF1	2342	2627	2660	3449	624	833	268	365
s_2201	ZIC1	2239	2445	2388	3157	69	118	30	40
s_3278	TFCP2L1	3415	3713	3791	4907	969	1143	408	462
s_4249	TGIF2LY	3028	3424	3275	4320	250	261	122	135
s_4955	HKR1	2991	3320	3135	4181	1249	1305	471	568
s_3292	TLX3	2597	2793	2865	3756	444	448	175	209
s_5150	ZNF662	1852	2078	1890	2674	464	502	189	233
s_1590	POU4F3	3066	3525	3435	4496	399	395	163	184
s_1985	HNF1B	2779	3164	2946	3965	633	636	264	370
s_5630	Non-Targeting Control	3822	4279	4567	5779	1110	1112	422	545
s_978	IFNGR2	1455	1572	1559	2077	467	506	173	232
s_3260	BHLHE22	1049	1244	1170	1599	374	470	181	203
s_3193	PTPN22	2625	2881	2919	3888	181	229	88	95
s_4053	TCF7L1	1921	2052	2194	2846	795	910	303	383
s_5769	Non-Targeting Control	2196	2534	2452	3395	579	713	227	311
s_2245	ZNF16	3374	3775	3634	4793	892	963	329	441
s_1140	LHX1	1449	1646	1586	2180	160	155	57	77
s_7	AGER	3482	3766	3917	5293	1365	1519	587	689
s_1754	CCL3	2908	2959	3077	4048	479	569	197	254
s_4349	OSR2	1383	1478	1491	1947	537	502	196	227
s_2667	GCM2	2972	3350	3303	4267	1248	1390	496	587
s_813	HOXA6	2626	2893	2875	3695	668	871	271	355
s_1003	IL3	4211	4635	4443	5976	705	799	291	334
s_24	AKT1	1467	1708	1569	2249	615	668	261	335
s_3095	CIC	1893	2070	2077	2918	100	66	31	47
s_2678	ZNF235	3735	4250	4256	5865	1668	1684	639	746
s_5017	ZFP69	4241	4773	4742	6172	1380	1448	609	705
s_1987	HNF1B	2640	2975	2967	4009	660	795	286	343
s_5213	YY2	2103	2318	2300	3032	501	561	199	259
s_1104	IRF5	2033	2277	2391	2948	197	239	99	83
s_1891	SREBF2	3062	3170	3287	4270	1180	1314	445	554
s_1428	NPAS1	989	1068	1080	1464	424	462	155	191
s_4683	ZNF846	2390	2724	2697	3475	723	805	311	409
s_4665	ZNF519	1711	1915	1900	2391	666	737	266	342
s_109	KLF5	2437	2776	2783	3593	594	618	212	286
s_2357	ZNF124	2187	2455	2407	3298	121	151	58	80
s_1937	TAL1	2154	2368	2405	3020	939	1107	363	494
s_3253	VENTX	1176	1332	1395	1725	228	249	126	107
s_5632	Non-Targeting Control	2053	2194	2424	3013	277	232	99	107
s_2419	ZNF174	2405	2648	2708	3531	906	958	327	411
s_129	RUNX3	2125	2169	2244	2937	529	553	187	289
s_69	ATF4	1758	1892	1976	2455	507	669	221	281
s_1382	NFKB1	2042	2315	2139	2844	834	864	363	363
s_1433	NRF1	3732	4187	4192	5474	1658	1641	676	771
s_2	ABCF1	1475	1684	1704	2276	693	718	252	295
s_2060	TFAP2C	3302	3559	3762	4855	1252	1320	471	560
s_1569	POU3F1	1844	2009	1911	2620	750	879	331	408
s_1094	IRF3	1451	1652	1589	2013	583	604	210	265
s_721	HLA-DQB2	1302	1484	1511	2000	186	182	63	96
s_2844	KLF2	1427	1548	1628	2113	539	563	223	255
s_1218	MEF2D	2727	3128	3171	4062	96	99	50	39
s_2078	TFDP1	2443	2692	2683	3663	876	980	376	468
s_5203	ZNF880	1890	2186	2062	2780	605	658	214	313
s_5093	TBX10	2803	3006	3099	4068	1137	1202	462	535
s_4707	ZNF383	2786	3154	3153	4171	962	937	376	412
s_319	ARID3A	2580	2682	2669	3684	990	1068	384	462
s_2817	OLIG2	2089	2247	2200	3007	395	532	224	204
s_128	RUNX1	2064	2227	2342	2866	591	600	215	302
s_3111	USP22	2030	2071	2132	2738	559	614	250	302
s_4634	ZNF425	2120	2323	2364	2996	921	961	354	388
s_4160	ZBTB45	1920	2182	2283	2891	243	224	73	141
s_546	FOXM1	3963	4430	4379	5907	1782	1836	687	864
s_2017	TCF19	1931	2182	2380	2963	647	670	249	305
s_5416	Non-Targeting Control	2052	2498	2237	3186	339	482	138	215
s_5385	MICA	2075	2340	2273	3175	314	362	50	135
s_5003	ZNF181	2590	2883	3204	4039	963	1033	416	461
s_150	CD1D	1901	2073	1929	2653	622	694	166	365
s_5903	Non-Targeting Control	1661	1840	1825	2485	734	700	300	323
s_2998	BTN2A1	2035	2269	2189	2987	132	147	54	87
s_3587	ARNTL2	2901	3150	3266	4381	920	1022	476	454
s_2828	IRX5	3279	3608	3589	4838	193	207	81	85
s_2188	YY1	2733	3029	2913	3747	967	1050	385	513
s_720	HLA-DQB1	3090	3200	3453	4329	926	1056	399	446
s_3685	HES4	2443	2506	2571	3249	842	865	340	400
s_4139	GLIS2	2903	3140	3313	4264	1241	1262	488	607
s_3745	BACH2	1935	2252	2118	2842	751	931	296	439
s_5949	Non-Targeting Control	1313	1447	1483	1900	703	741	245	299
s_5971	Non-Targeting Control	2422	2605	2668	3715	751	845	261	377
s_461	ETV1	3484	4000	3983	5148	842	898	364	422
s_4871	ZNF620	3144	3603	3681	4571	708	828	341	344
s_233	CREB1	2362	2508	2443	3224	746	838	292	423
s_799	HOXA2	2321	2576	2514	3519	750	785	321	341
s_1533	PKNOX1	3170	3534	3782	4739	446	479	215	242
s_1095	IRF3	2294	2489	2589	3276	1045	1042	403	512
s_4854	FOXK1	2464	2944	2871	3908	724	856	270	390
s_1929	STAT6	1626	1722	1720	2221	103	89	20	48
s_3868	BCL11B	1866	1954	1978	2751	773	806	294	409
s_646	CXCR3	1763	1905	1863	2569	363	413	130	200
s_4892	ZNF549	1955	2148	2175	2796	753	799	306	350
s_894	HOXC10	1253	1441	1437	1898	523	552	187	225
s_2997	BTN2A1	2757	3161	3196	4220	487	479	190	224
s_5248	ARGFX	2982	3215	3169	4154	682	620	265	261
s_4816	TUBB	1202	1372	1248	1571	34	41	22	22
s_3893	IRX3	1817	2064	2093	2662	382	415	172	187
s_640	GLI3	3245	3614	3610	4866	126	139	59	59
s_2538	FOSL1	3559	4011	4085	5095	1388	1589	578	748
s_4519	MESP2	1967	2061	2178	2754	823	889	300	388
s_1756	CCL3	1525	1782	1738	2198	650	692	291	299
s_3148	MAFF	2955	3163	3190	4304	977	1127	413	469
s_901	HOXC12	2381	2634	2574	3514	45	67	11	31
s_2083	TFDP2	4132	4467	4509	5595	381	404	171	186
s_4037	ZNF436	2383	2773	2978	3869	1105	1161	443	531
s_1938	TAL1	1728	2062	1936	2605	223	229	74	118
s_229	KLF6	2541	2855	2918	3765	1026	1058	399	456
s_5274	DRGX	3139	3360	3603	4517	1235	1422	510	632
s_5264	ZNF674	2025	2088	2068	2796	331	502	116	213
s_3410	KLF13	1374	1440	1473	1909	614	703	226	264
s_5542	Non-Targeting Control	2518	2842	2739	3733	704	778	266	366
s_2683	KLF4	1132	1326	1182	1649	458	466	185	254
s_2122	TNF	2601	2783	2794	3788	655	760	295	275
s_5306	RHOXF2B	1886	2055	2081	2778	551	673	250	305
s_402	EMX1	1671	1739	1765	2290	482	519	188	225
s_3948	CARF	3097	3733	3722	4843	698	844	289	366
s_4669	ZNF610	2652	2935	3113	3849	903	963	411	472
s_3626	ZNF287	1801	1996	2009	2576	698	729	272	282
s_3445	BNC2	2612	2942	2851	3731	42	69	32	26
s_5730	Non-Targeting Control	1313	1363	1397	1779	38	34	23	15
s_445	ESRRB	2298	2513	2625	3313	344	323	154	186
s_4701	ZNF114	3249	3600	3695	4666	462	499	165	222
s_5753	Non-Targeting Control	866	1009	956	1231	81	105	23	43
s_260	CSF1	1149	1323	1190	1682	114	166	43	88
s_4427	DMBX1	2126	2260	2260	3002	824	875	360	443
s_5930	Non-Targeting Control	2553	2788	2911	3624	633	701	274	328
s_208	CCR3	3114	3496	3424	4648	1040	1062	433	542
s_4730	OLIG3	2891	3345	3354	4256	1264	1295	506	576
s_5333	ZNF730	3112	3541	3569	4680	1330	1507	541	637
s_3601	BBX	2255	2544	2637	3402	884	949	351	424
s_3828	IKZF5	2730	3012	3056	3974	733	799	301	373
s_1742	SATB1	3075	3282	3644	4546	1185	1323	490	624
s_4204	HSFY1	2926	3078	3309	4352	328	310	146	143
s_591	GABPA	1782	2175	1990	2735	17	33	14	19
s_1662	RARG	2303	2466	2595	3275	736	716	249	311
s_1709	RORC	1983	2075	2107	2885	829	926	320	387
s_1555	POU1F1	2529	2783	2878	3660	300	372	121	195
s_5031	ZNF774	2772	3096	3202	3982	875	990	355	481
s_3942	ZFHX4	2986	3404	3386	4279	1155	1319	427	479
s_1393	NFYA	2268	2463	2546	3344	819	889	306	411
s_4841	ZNF485	1996	2185	2184	2737	771	795	302	355
s_4323	IL17F	3506	4152	4222	5427	859	901	348	428
s_3318	NEUROG3	1600	1821	1697	2326	114	125	36	53
s_1839	SOX9	2091	2215	2201	3206	227	268	87	115
s_2369	ZNF134	4298	4645	4666	6148	169	197	89	103
s_3897	IRX1	2281	2482	2444	3158	1043	1153	407	513
s_1323	NEUROD1	1619	1724	1846	2355	215	249	76	118
s_5464	Non-Targeting Control	1830	2159	2089	2900	359	437	123	194
s_3693	NEUROD4	3609	4071	3350	5126	499	574	244	279
s_5569	Non-Targeting Control	2201	2394	2720	3388	677	760	322	364
s_4423	ZNF792	2909	3300	3285	4249	239	266	116	137
s_3977	ZNF696	1647	1733	1723	2229	456	495	191	234
s_4791	ZNF626	2341	2672	2748	3385	422	506	174	229
s_1656	RARA	1138	1202	1321	1691	134	194	65	71
s_5308	ZNF736	1640	1936	2121	2690	593	668	246	263
s_4113	ZNF527	1772	2098	2062	2637	569	642	196	233
s_264	CSF2	1967	2191	2237	2832	465	638	226	308
s_3497	SOX6	2512	2959	3001	3837	972	1101	391	499
s_2619	HESX1	3182	3488	3664	4875	282	344	148	168
s_2032	TEAD1	2785	3109	3145	4184	199	214	80	111
