sgRNA	Gene	D1_high	D1_low	D2_high	D2_low	D3_high	D3_low	D4_high	D4_low
s_5921	Non-Targeting Control	2541	2810	2947	3750	837	928	399	452
s_3961	ZNF671	3753	4004	4009	4983	733	805	269	379
s_4214	ZNF30	2669	3005	2954	3841	492	581	175	260
s_4926	ZNF547	1624	1784	1842	2448	700	711	244	297
s_5723	Non-Targeting Control	2240	2516	2563	3479	762	921	344	367
s_122	RUNX2	944	1123	1073	1431	365	384	130	200
s_2063	TFAP4	2733	3171	3212	4281	373	496	175	171
s_1775	SHOX	1425	1657	1585	2107	113	138	52	66
s_5891	Non-Targeting Control	3698	3984	4195	5529	1312	1422	534	633
s_5865	Non-Targeting Control	2650	2954	2826	3785	53	59	22	25
s_1810	SMARCB1	2126	2335	2348	2962	610	660	252	295
s_841	HOXB2	1453	1588	1405	1986	507	528	236	256
s_5007	ZNF260	2663	2902	2932	3917	1074	1063	391	510
s_3891	IRX6	1765	1949	1969	2618	711	723	281	352
s_1452	SIX6	2638	3073	3031	3986	156	144	57	66
s_5613	Non-Targeting Control	2569	2796	3112	3948	940	973	356	459
s_601	GATA3	2524	2623	2544	3330	302	335	154	166
s_5369	DUX4	2195	2539	2305	3116	410	394	159	199
s_1978	TBX3	1632	1779	1790	2228	501	549	203	244
s_2171	VDR	3311	3619	3530	4802	820	952	319	380
s_1399	NFYB	2189	2422	2492	3315	639	699	277	311
s_4128	ZBTB37	1906	2244	2162	2903	695	738	257	370
s_567	FLI1	2577	2819	2785	3748	510	552	221	266
s_4902	NCR3	1558	1897	1733	2531	68	139	46	36
s_4101	ZNF528	2215	2508	2511	3232	754	838	308	365
s_3657	ZBTB2	2560	2709	2724	3703	992	952	371	440
s_3973	NANOG	2013	2239	2300	2890	351	458	216	200
s_5785	Non-Targeting Control	1993	2420	2332	2912	947	944	358	407
s_668	GTF3A	2208	2427	2505	3230	488	593	200	237
s_5529	Non-Targeting Control	1818	1918	2209	2820	716	748	321	322
s_3555	ZNF302	1739	2012	1982	2574	615	687	240	298
