sgRNA	Gene	D3_high	D3_low	D4_high	D4_low
s_4759	ARX	476	425	193	229
s_4248	ZNF486	678	763	209	315
s_1615	PPARG	1049	1110	421	514
s_2543	HMGA2	169	163	57	126
s_4824	ZNF449	1383	1521	556	700
s_3475	ELP2	765	811	281	343
s_4051	ZNF93	1108	1211	438	502
s_3804	LHX5	709	787	290	352
s_3753	PKNOX2	837	921	328	438
s_4262	ZNF697	909	1077	371	497
s_2208	ZIC2	704	746	280	410
s_2605	KLF7	637	707	245	319
s_2185	YY1	930	1065	417	501
s_2561	GFI1B	1279	1334	534	619
s_484	ETV6	673	756	291	310
s_809	HOXA5	754	798	289	355
s_3416	ZNF44	1417	1422	577	700
s_2108	THRB	990	1004	411	485
s_5774	Non-Targeting Control	296	359	115	169
s_5469	Non-Targeting Control	781	831	307	376
s_2980	VAX1	313	385	133	194
s_498	FOXG1	560	558	208	251
s_4834	ZNF25	1171	1242	497	543
s_1953	TBP	804	860	365	360
s_4896	PTF1A	622	633	245	317
s_3124	HEY2	1301	1498	508	698
s_2930	TCFL5	473	543	196	282
s_1483	PAX5	313	335	139	173
s_1340	NFATC2	150	211	31	62
s_3900	IRX1	600	861	338	296
s_354	EGR1	812	880	337	407
s_3510	ZNF416	704	940	193	391
s_4704	ZNF567	797	965	267	432
s_1506	PBX3	1234	1331	516	626
s_2330	ZNF76	425	471	173	221
s_5236	ZNF716	414	463	156	205
s_1182	SMAD5	1043	1054	379	534
s_3840	EBF2	228	250	92	121
s_2122	TNF	655	760	295	275
s_5624	Non-Targeting Control	501	588	216	267
s_4798	FOXD4L1	511	574	205	264
s_5136	ZNF324B	199	196	69	84
s_743	HMGA1	476	551	262	267
s_1131	JUND	452	560	209	259
s_4244	ZNF439	826	926	342	444
s_1674	RELB	880	965	364	395
s_429	ERG	1227	1451	539	678
s_2859	ZBTB18	1012	1103	386	515
s_113	BTN1A1	1098	1173	421	534
s_5191	HELT	798	876	356	449
s_1158	LTF	451	501	221	238
s_4530	ZNF597	395	464	184	225
s_4113	ZNF527	569	642	196	233
s_3598	PRDM9	221	397	144	87
s_5566	Non-Targeting Control	1299	1365	464	631
s_4785	ZNF627	943	988	355	451
s_3731	HIVEP3	766	795	338	400
s_729	HLA-DRB1	398	455	156	225
s_1007	IL4	298	356	100	229
s_4720	ZBTB49	48	70	18	22
s_562	FOXO3	699	737	297	307
s_4582	ZNF558	1116	1310	446	560
s_4039	ZNF436	676	824	283	353
s_5259	ZNF704	1388	1443	574	661
s_3750	ALX4	563	658	242	282
s_3064	FOXJ3	530	648	217	300
s_4650	RHOXF1	556	643	232	292
s_4310	PRDM6	1208	1331	498	628
s_2057	TFAP2C	775	878	289	432
s_2141	NR2C2	455	488	196	243
s_702	HLA-B	1403	1459	491	671
s_4397	ZFP3	451	510	182	193
s_1161	LYL1	387	436	171	239
s_5998	EGFP	758	744	282	349
s_3726	IL21	948	1042	358	448
s_4243	ZNF439	827	884	301	399
s_5330	BTNL10	376	352	133	225
s_2129	TP53	970	1150	441	566
s_2267	ZNF22	822	864	341	399
s_5706	Non-Targeting Control	194	236	93	117
s_4595	ZNF555	835	903	325	405
s_4011	SP6	284	316	111	146
s_4276	MSANTD3	371	417	145	200
s_2302	ZNF41	1157	1220	488	610
s_2979	VAX1	480	521	204	258
s_4962	ZNF619	708	761	274	353
s_298	DLX4	446	454	167	182
s_528	FOXL1	222	296	95	108
s_3556	ZNF302	534	682	200	259
s_1883	SPP1	408	518	145	233
s_434	ESR1	910	975	337	478
s_5808	Non-Targeting Control	709	767	294	334
s_195	CENPB	397	516	140	206
s_2835	IKZF1	884	907	343	406
s_5859	Non-Targeting Control	916	1015	385	448
s_902	HOXC12	443	492	183	222
s_45	ARNTL	997	1038	385	464
s_2012	TCF15	403	445	175	183
s_5922	Non-Targeting Control	573	663	275	257
s_5560	Non-Targeting Control	452	527	201	254
s_4690	ZNF791	361	521	185	257
s_3559	DMAP1	936	1004	375	439
s_2833	IKZF1	1012	1108	404	480
s_4842	ZNF485	798	895	306	392
s_3748	BACH2	292	342	141	164
s_4913	FOXR1	113	92	73	76
s_2628	IER3	465	497	191	234
s_3425	SOX18	957	1080	426	463
s_2857	ZBTB18	156	181	53	63
s_603	GATA3	396	430	165	215
s_4692	ZNF564	937	973	343	425
s_2710	ONECUT2	861	882	309	418
s_5493	Non-Targeting Control	565	613	224	251
s_5495	Non-Targeting Control	165	219	38	58
s_2444	ZNF189	665	737	236	333
s_264	CSF2	465	638	226	308
s_5277	NKX2-4	701	734	274	346
s_534	FOXJ1	181	233	86	57
s_2412	ZNF157	486	492	175	240
s_1475	PAX3	331	334	124	191
s_1197	MAX	883	1030	324	479
s_4227	ZNF766	755	761	290	410
s_726	HLA-DRA	898	994	385	469
s_4396	ZFP3	1425	1653	621	742
s_5311	ZNF705D	755	790	301	373
s_692	HIVEP1	1282	1581	487	747
s_5790	Non-Targeting Control	1009	1129	429	527
s_116	BTN1A1	694	738	270	328
s_2974	ATF7	385	397	127	181
s_2245	ZNF16	892	963	329	441
s_2524	MTERF1	1740	1964	736	899
s_3902	ZNF557	798	871	348	434
s_78	BACH1	457	554	226	293
s_1472	PAX2	634	630	264	310
s_643	GLI4	200	221	83	86
s_1951	TBX1	315	296	104	135
s_540	FOXC2	202	190	63	105
s_2618	HESX1	1293	1306	454	616
