sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
s_3654_r2	ZNF492	731.64	816.9	731.64	816.9	0.15881	3634.3	7255	1.0009	0.84157	0.15843	0.31686	0.99995	True
s_597_r3	GATA2	1152	1045.1	1152	1045.1	-0.14048	5722.5	11424	1.0009	0.15843	0.84157	0.31686	0.99995	False
s_2777_r2	NR1H4	2094	2238.2	2094	2238.2	0.096049	10400	20764	1.0009	0.84156	0.15844	0.31688	0.99995	True
s_1850_r3	SOX15	13.091	24.494	13.091	24.494	0.85532	65.005	129.82	1.0008	0.81883	0.18117	0.36234	0.99995	True
s_5871_r3	Non-Targeting Control	13.091	24.494	13.091	24.494	0.85532	65.005	129.82	1.0008	0.81883	0.18117	0.36234	0.99995	True
s_5031_r3	ZNF774	1574.2	1449.2	1574.2	1449.2	-0.11931	7816.8	15610	1.0007	0.15847	0.84153	0.31695	0.99995	False
s_948_r0	HES1	1232.2	1121.6	1232.2	1121.6	-0.13558	6118	12219	1.0007	0.15849	0.84151	0.31698	0.99995	False
s_3349_r2	YBX2	212.22	166.34	212.22	166.34	-0.34953	1052.3	2104.4	1.0001	0.15864	0.84136	0.31728	0.99995	False
s_2548_r1	ALX1	364.18	304.09	364.18	304.09	-0.25939	1805.6	3611.2	0.99999	0.15866	0.84134	0.31731	0.99995	False
s_4124_r3	RHOXF2	975.31	1073.6	975.31	1073.6	0.13844	4834.2	9671.2	0.99985	0.84131	0.15869	0.31738	0.99995	True
s_3625_r3	ZNF287	1400.8	1518.6	1400.8	1518.6	0.11644	6941.3	13890	0.99973	0.84128	0.15872	0.31744	0.99995	True
s_5049_r2	ZSCAN22	204.8	159.76	204.8	159.76	-0.35637	1014.5	2030.8	0.99956	0.15876	0.84124	0.31753	0.99995	False
s_4823_r2	ZNF449	2156.3	2302.5	2156.3	2302.5	0.094553	10677	21382	0.99931	0.84118	0.15882	0.31764	0.99995	True
s_4657_r3	NKX2-3	454.93	387.82	454.93	387.82	-0.22971	2251.9	4511.1	0.99919	0.15885	0.84115	0.3177	0.99995	False
s_2077_r2	TFDP1	927.54	831.72	927.54	831.72	-0.15713	4590.4	9197.5	0.9991	0.15887	0.84113	0.31775	0.99995	False
