id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Non-Targeting	2372	5.1638e-187	3.6643e-06	0.00165	1	0	0.0	3.131e-140	3.6643e-06	0.00165	1	0	0.0
TNFAIP3	16	0.91789	0.91845	0.99963	1216	0	0.22524	8.3968e-12	3.6643e-06	0.00165	2	12	0.22524
ZNF768	16	0.98134	0.98126	0.99963	1315	0	0.038744	2.0483e-07	3.6643e-06	0.00165	3	5	0.038744
TGIF1	16	0.95673	0.95681	0.99963	1272	0	0.10495	0.00011816	0.001059	0.357673	4	9	0.10495
IRF6	16	0.95292	0.9532	0.99963	1268	0	-0.0037687	0.00014419	0.0013301	0.359406	5	4	-0.0037687
FOXG1	16	0.89196	0.89296	0.99963	1175	1	0.046853	0.00023563	0.0020557	0.462871	6	6	0.046853
ZNF891	16	0.93817	0.93886	0.99963	1247	0	0.018518	0.00036991	0.0028765	0.555163	7	4	0.018518
TBX1	16	0.85563	0.86326	0.99963	1115	1	0.048836	0.00054393	0.0038732	0.654084	8	7	0.048836
NFIA	16	0.76123	0.80898	0.99963	1045	1	-0.0092279	0.00077186	0.0052363	0.734158	9	3	-0.0092279
IL1R1	16	0.54405	0.68443	0.99963	875	2	0.018144	0.0008025	0.0054342	0.734158	10	5	0.018144
JDP2	16	0.9996	0.99963	0.99963	1351	0	0.075437	0.0011332	0.0072444	0.889739	11	7	0.075437
SREBF1	16	0.93088	0.93164	0.99963	1236	0	0.022428	0.0014909	0.0087614	0.938861	12	3	0.022428
EGFP	52	0.015869	0.086079	0.813231	111	5	0.02316	0.0016996	0.013591	0.938861	13	13	0.02316
ARGFX	16	0.40619	0.58911	0.99963	741	2	0.032697	0.0017077	0.0097947	0.938861	14	4	0.032697
HLA-DQB1	16	0.87439	0.8781	0.99963	1145	1	0.077863	0.0017638	0.010081	0.938861	15	6	0.077863
LHX6	16	0.062121	0.17327	0.981172	237	1	0.016622	0.0018483	0.010535	0.938861	16	4	0.016622
WT1	16	0.10373	0.24581	0.994264	334	1	0.047766	0.0020878	0.011678	0.938861	17	7	0.047766
STAT2	16	0.88737	0.88881	0.99963	1167	1	0.039904	0.0023033	0.012521	0.938861	18	7	0.039904
TET1	16	0.9792	0.97902	0.99963	1313	0	0.076628	0.0023623	0.012792	0.938861	19	7	0.076628
RREB1	16	0.20548	0.38893	0.99963	491	3	0.0011044	0.0025867	0.013899	0.938861	20	6	0.0011044
RORA	16	0.96484	0.96483	0.99963	1286	0	0.013409	0.0031484	0.016149	0.974035	21	4	0.013409
HLA-DRA	16	0.97237	0.97225	0.99963	1296	0	0.069526	0.0032188	0.016383	0.974035	22	7	0.069526
CREB3L4	16	0.92917	0.92995	0.99963	1233	0	0.022959	0.0033246	0.016874	0.974035	23	5	0.022959
GSC	16	0.93384	0.93467	0.99963	1241	0	-0.010718	0.0035446	0.01779	0.974035	24	3	-0.010718
PTEN	16	0.90355	0.90445	0.99963	1193	0	0.053303	0.0038891	0.019168	0.974035	25	5	0.053303
GBX1	16	0.74385	0.80151	0.99963	1034	1	0.011904	0.004062	0.020004	0.974035	26	3	0.011904
ZNF79	16	0.95708	0.9572	0.99963	1274	0	0.042897	0.0044203	0.021711	0.974035	27	6	0.042897
TIGD1	16	0.92089	0.92125	0.99963	1222	0	0.014333	0.0052084	0.025141	0.974035	28	4	0.014333
ZNF764	16	0.99214	0.9921	0.99963	1330	0	0.065249	0.0052398	0.025265	0.974035	29	6	0.065249
ZNF582	16	0.99832	0.99841	0.99963	1347	0	0.047995	0.0057648	0.027537	0.974035	30	7	0.047995
ZNF766	16	0.086893	0.21681	0.981172	291	2	0.024123	0.0058761	0.02805	0.974035	31	4	0.024123
HOXD4	16	0.42263	0.59989	0.99963	754	2	0.024732	0.006022	0.028497	0.974035	32	4	0.024732
CCL2	16	0.97297	0.97292	0.99963	1297	0	0.044761	0.006129	0.028878	0.974035	33	5	0.044761
HIC2	16	0.0067131	0.029135	0.531911	74	5	-0.05399	0.0062711	0.029384	0.974035	34	1	-0.05399
DMBX1	16	0.25992	0.44929	0.99963	564	2	0.021241	0.0063734	0.029809	0.974035	35	3	0.021241
ZNF384	16	0.7733	0.81449	0.99963	1055	1	-0.013072	0.0069325	0.031803	0.974035	36	2	-0.013072
LIN28A	16	0.92068	0.92102	0.99963	1221	0	0.045167	0.00709	0.032308	0.974035	37	6	0.045167
DPRX	16	0.53234	0.67578	0.99963	862	2	-0.0085914	0.0074099	0.033349	0.974035	38	4	-0.0085914
ZNF691	16	0.43262	0.60665	0.99963	761	1	0.018013	0.0074184	0.033364	0.974035	39	5	0.018013
NEUROD4	16	0.28384	0.4756	0.99963	600	3	0.007648	0.0077969	0.034639	0.974035	40	5	0.007648
ZSCAN16	16	0.94449	0.94511	0.99963	1256	0	0.0033858	0.0078726	0.034873	0.974035	41	4	0.0033858
HLF	16	0.027405	0.092	0.841291	145	3	-0.023072	0.0084756	0.037182	0.974035	42	2	-0.023072
JAK3	16	0.96806	0.96811	0.99963	1288	0	0.018216	0.0085987	0.037578	0.974035	43	5	0.018216
ZNF442	16	0.50343	0.65493	0.99963	832	2	0.0041417	0.0092094	0.039615	0.974035	44	4	0.0041417
ZNF484	16	0.066257	0.18076	0.981172	246	4	-0.014357	0.0093737	0.040223	0.974035	45	2	-0.014357
TCF21	16	0.2999	0.49239	0.99963	626	1	0.055825	0.010168	0.042774	0.974035	46	6	0.055825
