sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
s_1350_r0	NIPAL2	5409.1	5278.9	5409.1	5278.9	-0.035139	8473.1	37076	0.67607	0.2495	0.7505	0.499	0.99724	False
s_1033_r0	KIF15	3817.1	3711.2	3817.1	3711.2	-0.040599	5612.6	24618	0.67525	0.24976	0.75024	0.49951	0.99724	False
s_1764_r0	SEPHS2	5979	5841.1	5979	5841.1	-0.033649	9503	41710	0.67503	0.24983	0.75017	0.49966	0.99724	False
s_197_r0	C1orf106	3130.6	3224.6	3130.6	3224.6	0.042697	4424.2	19509	0.67346	0.74967	0.25033	0.50065	0.99724	True
s_776_r0	HLA-C	3181.7	3086.8	3181.7	3086.8	-0.043667	4501.9	19883	0.67293	0.2505	0.7495	0.50099	0.99724	False
s_245_r0	CASP8	3091.7	2998.5	3091.7	2998.5	-0.044145	4343.2	19225	0.67217	0.25074	0.74926	0.50147	0.99724	False
s_1571_r0	PSMB9	2764	2676.8	2764	2676.8	-0.046195	3796	16859	0.67106	0.25109	0.74891	0.50218	0.99724	False
s_669_r0	FUT2	3570.5	3671.5	3570.5	3671.5	0.040245	5103.7	22763	0.66965	0.74846	0.25154	0.50308	0.99724	True
s_1050_r0	KRAS	3924.9	3818.4	3924.9	3818.4	-0.039674	5670.1	25436	0.66771	0.25216	0.74784	0.50432	0.99724	False
s_2534_r0	Non-Targeting Control	1930.8	1860.5	1930.8	1860.5	-0.053432	2466.7	11077	0.66736	0.25227	0.74773	0.50454	0.99724	False
s_889_r0	IL17RA	3313.9	3410.2	3313.9	3410.2	0.041343	4643.4	20855	0.6673	0.74771	0.25229	0.50458	0.99724	True
s_739_r0	GYPE	1627.5	1564.1	1627.5	1564.1	-0.057272	2008.6	9070.8	0.66549	0.25287	0.74713	0.50574	0.99724	False
s_1461_r0	PGM3	2654	2569.6	2654	2569.6	-0.046589	3559	16076	0.66542	0.25289	0.74711	0.50578	0.99724	False
s_987_r0	ITPA	401.04	373.01	401.04	373.01	-0.10427	392.92	1776.3	0.66514	0.25298	0.74702	0.50596	0.99724	False
s_767_r0	HLA-A	1945.2	1875	1945.2	1875	-0.053048	2468.5	11174	0.66471	0.25312	0.74688	0.50624	0.99724	False
s_50_r0	AKT1	2854	2766	2854	2766	-0.045126	3864.8	17504	0.66453	0.25318	0.74682	0.50635	0.99724	False
s_2898_r0	Non-Targeting Control	3058.4	3149.9	3058.4	3149.9	0.042513	4185.5	18983	0.66407	0.74668	0.25332	0.50665	0.99724	True
s_1663_r0	RFX5	3333.9	3430.1	3333.9	3430.1	0.041025	4626.5	21003	0.66375	0.74657	0.25343	0.50685	0.99724	True
s_2192_r0	WWC3	983.17	936.13	983.17	936.13	-0.070654	1106.2	5037	0.66276	0.25374	0.74626	0.50749	0.99724	False
s_2904_r0	Non-Targeting Control	1698.6	1763.2	1698.6	1763.2	0.05385	2089	9535.6	0.66193	0.74599	0.25401	0.50801	0.99724	True
s_2391_r0	Non-Targeting Control	6516.7	6374.5	6516.7	6374.5	-0.031816	10105	46157	0.66171	0.25408	0.74592	0.50816	0.99724	False
s_2627_r0	Non-Targeting Control	3240.6	3146.3	3240.6	3146.3	-0.042593	4446.4	20315	0.66162	0.25411	0.74589	0.50822	0.99724	False
