sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
s_2038_r0	TNFAIP3	21170	1.9076e+05	21170	1.9076e+05	3.1716	1.4381e+10	3.4905e+05	287.05	1	0	0	0	True
s_2035_r0	TNF	7487.2	1934.5	7487.2	1934.5	-1.9519	1.5416e+07	94608	18.052	3.7709e-73	1	7.5418e-73	1.103e-69	False
s_2033_r0	TNF	9734.8	4065	9734.8	4065	-1.2597	1.6074e+07	1.3149e+05	15.636	2.0726e-55	1	4.1452e-55	4.0415e-52	False
s_2040_r0	TNFAIP3	3867.9	6842	3867.9	6842	0.82269	4.4226e+06	41398	14.617	1	1.091e-48	2.1819e-48	1.5955e-45	True
s_1233_r0	MITF	2804	4857.2	2804	4857.2	0.79244	2.1079e+06	27706	12.335	1	2.9225e-35	5.8451e-35	3.4194e-32	True
s_2034_r0	TNF	2965.7	984.93	2965.7	984.93	-1.5893	1.9617e+06	29714	11.491	7.3215e-31	1	1.4643e-30	7.1384e-28	False
s_1234_r0	MITF	4548.6	7036.9	4548.6	7036.9	0.6294	3.0957e+06	50695	11.051	1	1.0801e-28	2.1601e-28	9.0263e-26	True
s_2039_r0	TNFAIP3	3629.5	5702.9	3629.5	5702.9	0.65178	2.1495e+06	38235	10.604	1	1.4335e-26	2.867e-26	1.0482e-23	True
s_1167_r0	MAP3K8	5760.3	3007.2	5760.3	3007.2	-0.93748	3.7897e+06	68123	10.548	2.5937e-26	1	5.1875e-26	1.6859e-23	False
s_2037_r0	TNFAIP3	2617	4268.4	2617	4268.4	0.70558	1.3636e+06	25421	10.358	1	1.9341e-25	3.8682e-25	1.1315e-22	True
s_2229_r0	ZFP36	1653	2876.6	1653	2876.6	0.79891	7.4861e+05	14347	10.215	1	8.4525e-25	1.6905e-24	4.4952e-22	True
s_974_r0	IRF8	6599.9	3705.2	6599.9	3705.2	-0.8327	4.1895e+06	80777	10.185	1.1592e-24	1	2.3184e-24	5.6512e-22	False
s_1342_r0	NFKBIZ	5369.5	2895.9	5369.5	2895.9	-0.89055	3.0593e+06	62388	9.9032	2.0149e-23	1	4.0297e-23	8.9547e-21	False
s_1599_r0	RABGGTA	2550.6	4103.5	2550.6	4103.5	0.68582	1.2058e+06	24620	9.8971	1	2.143e-23	4.286e-23	8.9547e-21	True
s_976_r0	IRF8	4484.1	2401.3	4484.1	2401.3	-0.90072	2.169e+06	49798	9.3334	5.1253e-21	1	1.0251e-20	1.9989e-18	False
s_1950_r0	TICAM2	6100.6	3637.8	6100.6	3637.8	-0.74573	3.0328e+06	73199	9.103	4.3951e-20	1	8.7901e-20	1.6069e-17	False
s_2001_r0	TMED7-TICAM2	6901	4305.8	6901	4305.8	-0.68038	3.3673e+06	85420	8.8793	3.3637e-19	1	6.7274e-19	1.1575e-16	False
s_2231_r0	ZFP36	3804.4	5533.8	3804.4	5533.8	0.54049	1.4954e+06	40549	8.5883	1	4.4127e-18	8.8254e-18	1.4341e-15	True
s_1629_r0	RC3H1	2951.7	4415	2951.7	4415	0.58073	1.0707e+06	29538	8.5144	1	8.3695e-18	1.6739e-17	2.5769e-15	True
s_2230_r0	ZFP36	3326.6	4829.3	3326.6	4829.3	0.53765	1.1291e+06	34292	8.115	1	2.4296e-16	4.8591e-16	7.1065e-14	True
s_1945_r0	TICAM1	5458.3	3464.4	5458.3	3464.4	-0.65571	1.9879e+06	63682	7.9014	1.3791e-15	1	2.7581e-15	3.8417e-13	False
s_1344_r0	NFKBIZ	4233.5	2652.9	4233.5	2652.9	-0.6741	1.2492e+06	46344	7.3424	1.0491e-13	1	2.0982e-13	2.7897e-11	False
s_1168_r0	MAP3K8	4942.2	3410.8	4942.2	3410.8	-0.5349	1.1726e+06	56240	6.4574	5.3255e-11	1	1.0651e-10	1.3545e-08	False
s_1458_r0	PELI1	4680.4	3238.5	4680.4	3238.5	-0.53119	1.0396e+06	52539	6.2908	1.5789e-10	1	3.1578e-10	3.8485e-08	False
s_1331_r0	NFKBIA	4579.4	3216	4579.4	3216	-0.50977	9.295e+05	51126	6.0301	8.1952e-10	1	1.639e-09	1.9177e-07	False
s_553_r0	DUSP1	3218.1	4283.4	3218.1	4283.4	0.4124	5.6734e+05	32903	5.8725	1	2.1466e-09	4.2932e-09	4.8299e-07	True
