,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,gene_set_db
0,prerank,TNF-alpha Signaling via NF-kB,-0.7478088990571389,-2.6537063009914394,0.0,0.0,0.0,102/194,8.78%,TNFAIP2;CD44;TNIP1;NFKB1;TNFAIP6;MAP3K8;BCL2A1;PTGER4;SOD2;MARCKS;CEBPD;ATP2B1;DRAM1;CD80;NFKB2;LITAF;REL;EHD1;CCL5;TRIP10;NAMPT;CD83;ZC3H12A;PTX3;B4GALT1;DENND5A;IL6;TRAF1;BTG1;IL7R;IL18;CCL4;PLEK;TNFAIP8;PDE4B;G0S2;IL15RA;IL1A;BCL6;NFKBIA;SOCS3;IL1B;CXCL1;GCH1;PNRC1;RELA;RIPK2;CFLAR;KLF4;KYNU;SERPINB8;NINJ1;SAT1;PTGS2;TNFAIP3;IL23A;TRIB1;F3;TNF;CCL20;IER5;MCL1;INHBA;MSC;TNFSF9;TLR2;ZBTB10;IER3;IFNGR2;TAP1;SLC2A6;BTG2;RNF19B;NR4A3;DUSP5;EGR1;ICAM1;EDN1;EIF1;JAG1;GPR183;CXCL6;B4GALT5;YRDC;KLF9;IRF1;STAT5A;FJX1;CXCL11;PANX1;DUSP2;RELB;SDC4;CCL2;CXCL3;BIRC3;CXCL2;IL6ST;ID2;PLK2;TSC22D1;TNIP2,MSigDB_Hallmark_2020
1,prerank,Inflammatory Response,-0.7271535788435259,-2.5672843547528257,0.0,0.0,0.0,86/190,9.38%,ABI1;NFKB1;TNFAIP6;CD40;PTGER4;KCNJ2;ATP2B1;EBI3;LYN;IL10RA;RNF144B;CCL5;CHST2;ADGRE1;LAMP3;NAMPT;IL6;IL7R;CCR7;IL18;ITGB8;MMP14;HIF1A;CD48;PDE4B;RASGRP1;IL15RA;IL1A;SLAMF1;NFKBIA;IL1B;AQP9;GPR132;GCH1;TNFSF10;RELA;SRI;RIPK2;ADM;IL15;SCN1B;TNFRSF1B;F3;CCL20;SLC11A2;CMKLR1;FPR1;PTGIR;INHBA;NMI;STAB1;TNFSF9;TLR2;PDPN;IFNGR2;BTG2;C3AR1;PTAFR;IL18R1;CXCL9;RGS16;AHR;CSF3;TLR1;ICAM1;EDN1;GPR183;CXCL6;FZD5;IRF1;TNFSF15;P2RX7;CXCL11;PSEN1;PTGER2;CCL2;PIK3R5;AXL;EMP3;CXCL8;RHOG;ACVR1B;ADRM1;SELL;TIMP1;CD82,MSigDB_Hallmark_2020
2,prerank,Interferon Gamma Response,-0.6399797489073017,-2.262217015860418,0.0,0.0,0.0,71/187,7.98%,TNFAIP2;SLAMF7;PLA2G4A;NFKB1;TNFAIP6;CD40;SOD2;IDO1;GBP4;STAT4;MT2A;CD38;IL10RA;CCL5;CD274;ARID5B;NAMPT;SOCS1;IL6;CFB;BTG1;SLC25A28;JAK2;CD74;HIF1A;PDE4B;SPPL2A;PELI1;IL15RA;NFKBIA;SOCS3;GCH1;PTPN1;TNFSF10;FGL2;SRI;RIPK2;CASP4;ZNFX1;IL15;PTGS2;TNFAIP3;PSME1;PIM1;ST8SIA4;CMKLR1;FPR1;PSMA3;NMI;DHX58;PTPN2;IRF8;TAP1;PARP14;CXCL9;IFITM3;TRAFD1;ICAM1;NOD1;IRF1;SAMD9L;STAT2;PSMB10;CXCL11;RNF31;AUTS2;CCL2;MARCHF1;BPGM;LGALS3BP;STAT3,MSigDB_Hallmark_2020
3,prerank,Allograft Rejection,-0.6105040519546204,-2.120559268899145,0.0,0.0,0.0,50/161,9.34%,GBP2;ABI1;CD40;SRGN;STAT4;CD80;LYN;CCL5;SOCS1;IL6;CCR5;IL18;JAK2;CD74;CCL19;CCL4;HIF1A;IL1B;IL2RA;RIPK2;IL15;PTPRC;TNF;CD47;ST8SIA4;INHBA;STAB1;TLR2;CD4;IRF8;IFNGR2;TAP2;TAP1;CXCL9;C2;TLR1;ICAM1;EIF3J;ETS1;PSMB10;ACHE;CTSS;ELF4;CCL2;GPR65;IFNAR2;RARS1;ABCE1;FCGR2B;TIMP1,MSigDB_Hallmark_2020
4,prerank,Complement,-0.5353707754095997,-1.8597482746730996,0.0,0.0002839014947843854,0.001,64/173,14.75%,PLA2G4A;CPM;SRC;LYN;EHD1;CCL5;DOCK4;IL6;CFB;JAK2;PLEK;MMP14;RASGRP1;C1QC;CXCL1;C1QA;CASP4;CASP5;KYNU;TNFAIP3;F3;PIM1;ANXA5;S100A9;LGMN;CTSH;DGKH;DUSP6;DUSP5;C2;IRF1;GNB4;CALM3;CTSS;C3;PSEN1;GNG2;L3MBTL4;PIK3R5;PIK3CG;RHOG;PFN1;USP15;SERPINA1;S100A12;TIMP1;CD59;HSPA5;CTSO;CPQ;BRPF3;LAP3;SERPING1;PPP4C;CASP3;APOBEC3G;USP16;PLSCR1;USP14;HSPA1A;VCPIP1;XPNPEP1;GRB2;LIPA,MSigDB_Hallmark_2020
5,prerank,KRAS Signaling Up,-0.519959061738176,-1.7988476525677781,0.0,0.0009463383159479514,0.004,47/160,11.01%,IL10RA;TLR8;TRAF1;CFB;IL7R;MAFB;G0S2;ETV5;IL1B;KLF4;PTGS2;TNFAIP3;SCN1B;TRIB1;TNFRSF1B;IKZF1;CCL20;F13A1;CMKLR1;INHBA;FUCA1;DUSP6;IRF8;C3AR1;USP12;CCSER2;RGS16;PDCD1LG2;LCP1;GADD45G;EPB41L3;YRDC;ETS1;KCNN4;CTSS;MAP3K1;MMD;ZNF277;BPGM;BIRC3;ID2;PRELID3B;ADAMDEC1;GUCY1A1;CXCL10;SPP1;HSD11B1,MSigDB_Hallmark_2020
6,prerank,IL-6/JAK/STAT3 Signaling,-0.5638130314244394,-1.7866870723429398,0.0,0.0010139339099442337,0.005,29/81,8.40%,CD44;MAP3K8;EBI3;CD38;SOCS1;IL6;IL15RA;SOCS3;IL1B;CXCL1;IL2RA;PTPN1;TNFRSF1B;TNF;PIM1;PTPN2;TLR2;IFNGR2;A2M;IL18R1;CXCL9;IRF1;STAT2;CXCL11;CXCL3;IL6ST;PIK3R5;STAT3;ACVR1B,MSigDB_Hallmark_2020
7,prerank,Myc Targets V1,-0.5203180943830249,-1.7693287572092267,0.0,0.001419507473921927,0.008,68/148,17.15%,NOP16;DDX21;UBE2E1;GNL3;IFRD1;ILF2;TRIM28;YWHAE;KPNA2;NOLC1;HDGF;EIF3J;CTPS1;PSMC4;SRSF2;SRSF7;RRP9;EIF2S1;CCT2;HNRNPC;DHX15;TRA2B;SNRPB2;PSMA4;HNRNPA3;KARS1;EIF4A1;SYNCRIP;PSMD14;PA2G4;ABCE1;PSMA2;AIMP2;HNRNPD;EIF3D;CCT4;SNRPA;HPRT1;YWHAQ;HSP90AB1;EIF4H;ERH;ETF1;FAM120A;EEF1B2;TFDP1;HNRNPR;RSL1D1;CUL1;KPNB1;VBP1;SET;HSPD1;DDX18;NOP56;PSMD7;CDK4;TOMM70;EIF3B;UBE2L3;XRCC6;BUB3;VDAC1;POLD2;HNRNPU;H2AZ1;SNRPG;SLC25A3,MSigDB_Hallmark_2020
8,prerank,Oxidative Phosphorylation,0.4539479345005987,1.5894852866016491,0.0,0.04066909634613588,0.062,72/174,19.86%,ACAA2;ECH1;ETFB;BAX;ATP6V0C;GPX4;HADHB;NDUFS7;ATP6V1D;ALAS1;TCIRG1;HADHA;ATP5F1D;SDHB;ISCU;NQO2;ACAA1;ATP5PD;POR;IDH1;TIMM13;PHYH;NDUFA8;IDH2;UQCR11;RHOT1;CYB5A;NDUFB3;COX4I1;CPT1A;ATP6V1H;UQCRB;UQCRC1;ATP6V1C1;ATP6V0B;MGST3;NDUFB7;ATP5F1A;DECR1;NDUFB5;ATP6V1E1;HTRA2;HCCS;ACAT1;PDHB;ATP5MC2;NDUFA3;ECHS1;ATP6V0E1;NDUFA5;ACADVL;IDH3B;NDUFB8;NDUFB6;VDAC3;MDH1;NDUFS2;PDP1;SURF1;ATP5MG;NDUFS3;NDUFB2;NDUFV1;NDUFA4;ISCA1;BDH2;SLC25A20;ETFA;ATP6V1F;SDHC;ACADM;COX8A,MSigDB_Hallmark_2020
9,prerank,Myc Targets V2,-0.5585031903116495,-1.5796155550133266,0.013100436681222707,0.014195074739219271,0.0875,23/44,15.83%,NOP16;GNL3;GRWD1;NOLC1;BYSL;RRP9;PPRC1;DUSP2;WDR43;NIP7;PA2G4;WDR74;MPHOSPH10;AIMP2;PES1;SUPV3L1;TBRG4;HSPD1;DDX18;NOP56;CDK4;MRTO4;NOP2,MSigDB_Hallmark_2020
10,prerank,IL-2/STAT5 Signaling,-0.44830417134423245,-1.5620405522698335,0.0011123470522803114,0.015543606839445102,0.1045,39/172,9.02%,CD44;SLC39A8;MAP3K8;GBP4;IL10RA;ALCAM;CD83;DENND5A;SOCS1;TRAF1;BATF;CD48;NFKBIZ;TNFRSF4;CDC42SE2;IL2RA;TNFSF10;FGL2;TNFRSF1B;XBP1;PIM1;IRF8;IL18R1;TNFRSF18;RGS16;BCL2;AHR;IFITM3;PLPP1;RHOH;PTGER2;LRRC8C;NDRG1;GPR65;TLR7;SWAP70;BATF3;SNX9;SELL,MSigDB_Hallmark_2020
11,prerank,Interferon Alpha Response,-0.4780681056631178,-1.529647977054437,0.0051813471502590676,0.019744058500914076,0.1415,30/91,11.80%,GBP2;GBP4;NUB1;LAMP3;SLC25A28;CD74;RIPK2;IL15;PSME1;CD47;PSMA3;NMI;DHX58;TAP1;PARP14;IFITM3;TRAFD1;IRF1;SAMD9L;STAT2;CXCL11;RNF31;LGALS3BP;ISG20;SELL;NCOA7;UBA7;CXCL10;LAP3;IFI27,MSigDB_Hallmark_2020
12,prerank,Androgen Response,-0.4562094468327562,-1.4731363519611904,0.0020855057351407717,0.03040111839982794,0.227,29/91,13.26%,INSIG1;ARID5B;B4GALT1;TNFAIP8;ELOVL5;HMGCS1;SAT1;FKBP5;DNAJB9;ABCC4;SELENOP;ZBTB10;PLPP1;STEAP4;SRF;SMS;ELK4;NDRG1;TMEM50A;TSC22D1;NCOA4;ADRM1;PA2G4;GUCY1A1;UAP1;NKX3-1;PDLIM5;DHCR24;CCND1,MSigDB_Hallmark_2020
13,prerank,Unfolded Protein Response,-0.455042829658402,-1.4558230730580362,0.014690451206715634,0.0333038291958606,0.258,34/94,15.36%,NABP1;SLC7A5;EDEM1;XBP1;DNAJB9;ZBTB17;NOP14;NOLC1;DKC1;SRPRB;HSPA9;RRP9;HYOU1;EIF2S1;FUS;DCP1A;CCL2;DNAJC3;EIF4A1;EIF4A2;HSPA5;ATF3;DNAJA4;EXOSC10;NFYA;ATF6;PDIA6;GEMIN4;EIF4G1;NOP56;EIF2AK3;HSP90B1;CNOT6;EIF4A3,MSigDB_Hallmark_2020
14,prerank,Epithelial Mesenchymal Transition,-0.42034814578242824,-1.4467411673166821,0.0031120331950207467,0.03325703224617086,0.2755,28/162,9.56%,CD44;BASP1;PTX3;IL6;WNT5A;MMP14;IGFBP4;CXCL1;IL32;IL15;SAT1;OXTR;TNFAIP3;VIM;CADM1;COL6A2;INHBA;FUCA1;BMP1;CXCL6;SDC4;THBS1;FERMT2;ID2;EMP3;CXCL8;TIMP1;CD59,MSigDB_Hallmark_2020
